state,total_prison,adult_rate_100,rate_100
 Alabama,"40,900","1,080",840
 Alaska,"4,400",800,600
 Arizona,"55,000","1,030",790
 Arkansas,"24,000","1,050",800
 California,"202,700",670,510
 Colorado,"32,100",740,580
 Connecticut,"15,000",530,420
 Delaware,"6,600",880,690
 Florida,"149,800",900,720
 Georgia,"91,400","1,160",880
 Hawaii,"5,600",500,390
 Idaho,"11,300",900,670
 Illinois,"60,800",620,480
 Indiana,"43,200",850,650
 Iowa,"13,400",560,430
 Kansas,"17,200",780,590
 Kentucky,"34,700","1,010",780
 Louisiana,"45,400","1,270",970
 Maine,"4,100",380,300
 Maryland,"28,400",610,470
 Massachusetts,"19,400",360,280
 Michigan,"56,500",730,570
 Minnesota,"16,300",380,290
 Mississippi,"28,700","1,260",960
 Missouri,"44,300",940,730
 Montana,"5,700",700,550
 Nebraska,"8,800",610,460
Nevada,"20,200",890,680
New Hampshire,"4,500",410,330
 New Jersey,"32,000",460,360
 New Mexico,"14,700",930,710
 New York,"74,400",480,380
 North Carolina,"54,100",680,530
  North Dakota,"3,100",540,410
 Ohio,"71,000",790,610
 Oklahoma,"39,000","1,310",990
 Oregon,"20,700",640,500
 Pennsylvania,"82,400",810,640
 Rhode Island,"3,100",370,290
 South Carolina,"32,100",820,640
 South Dakota,"5,800",880,670
 Tennessee,"48,400",930,720
 Texas,"218,500","1,050",780
 Utah,"11,700",540,380
 Vermont,"1,700",340,280
 Virginia,"57,500",880,680
 Washington,"30,400",530,410
 West Virginia,"10,100",690,550
 Wisconsin,"35,600",790,620
Wyoming,"3,900",870,660
